joint_pos,joint_torque
-1.3945809602737427,4.2199387550354
-1.3945493698120117,4.12510871887207
-1.3945493698120117,4.3147687911987305
-1.3945493698120117,4.2199387550354
-1.3945493698120117,4.267353534698486
-1.3945335149765015,4.267353534698486
-1.3945493698120117,4.2199387550354
-1.3945651054382324,4.2199387550354
-1.3945493698120117,4.2199387550354
-1.3945651054382324,4.267353534698486
-1.3945493698120117,4.267353534698486
-1.3945809602737427,4.2199387550354
-1.3945335149765015,4.12510871887207
-1.3945809602737427,4.2199387550354
-1.3945493698120117,4.2199387550354
-1.3945493698120117,4.267353534698486
-1.3945493698120117,4.2199387550354
-1.3945493698120117,4.2199387550354
-1.3945651054382324,4.267353534698486
-1.3945651054382324,4.12510871887207
-1.3945651054382324,4.267353534698486
-1.3945651054382324,4.12510871887207
-1.394596815109253,4.12510871887207
-1.396808385848999,4.12510871887207
-1.4180552959442139,5.025994300842285
-1.470438003540039,6.116540431976318
-1.6003997325897217,6.638105869293213
-1.6066395044326782,7.491576194763184
-1.6953237056732178,8.297632217407227
-1.7226208448410034,9.198517799377441
-1.7314039468765259,8.961442947387695
-1.7843554019927979,8.676952362060547
-1.8096622228622437,8.629537582397461
-1.83831787109375,9.48300838470459
-1.8378913402557373,10.62096881866455
-1.8375438451766968,11.189949989318848
-1.8373700380325317,11.806344985961914
-1.8372911214828491,12.185665130615234
-1.83732271194458,11.66409969329834
-1.83697509765625,12.375325202941895
-1.8354586362838745,12.991721153259277
-1.7605810165405273,12.090835571289062
-1.711673617362976,11.427024841308594
-1.6453421115875244,9.625253677368164
-1.5969876050949097,8.629537582397461
-1.5948865413665771,8.392461776733398
-1.5568633079528809,7.965726852416992
-1.5132951736450195,8.060556411743164
-1.4644193649291992,7.870896816253662
-1.46110200881958,6.495860576629639
-1.4435042142868042,5.64238977432251
-1.438907265663147,5.594974994659424
-1.4389547109603882,5.594974994659424
-1.4390020370483398,5.310484409332275
-1.4393179416656494,5.215654373168945
-1.4432672262191772,4.978579044342041
-1.4946231842041016,6.02170991897583
-1.6203354597091675,7.064840793609619
-1.69271719455719,9.008857727050781
-1.7052441835403442,9.86232852935791
-1.7436940670013428,10.289063453674316
-1.7904056310653687,9.86232852935791
-1.811447262763977,10.289063453674316
-1.8634666204452515,10.858044624328613
-1.862187147140503,12.612401008605957
-1.8610655069351196,12.991721153259277
-1.8301666975021362,12.754646301269531
-1.7761094570159912,11.66409969329834
-1.6663678884506226,10.05198860168457
-1.6069238185882568,9.103687286376953
-1.587225079536438,8.060556411743164
-1.464924931526184,6.827765941619873
-1.4170600175857544,6.211370468139648
-1.4114995002746582,5.310484409332275
-1.410836100578308,5.310484409332275
-1.410836100578308,5.120824337005615
-1.4109466075897217,4.978579044342041
-1.4110729694366455,4.646674156188965
-1.4111520051956177,4.788918972015381
-1.4113256931304932,4.504428863525391
-1.4113889932632446,4.4570136070251465
-1.4114521741867065,4.4095988273620605
-1.4115469455718994,4.3147687911987305
-1.4116101264953613,4.267353534698486
-1.4117680788040161,4.2199387550354
-1.411799669265747,4.2199387550354
-1.411926031112671,4.12510871887207
-1.4120839834213257,4.077693462371826
-1.4122419357299805,4.12510871887207
-1.4123841524124146,3.888033390045166
-1.4125895500183105,4.077693462371826
-1.4128895998001099,4.077693462371826
-1.4130160808563232,4.12510871887207
-1.4130949974060059,4.030278205871582
